Company,Name,CV,Nationality,Year of Birth,Gender,PhD,Post-Doc,Committees,Chairperson of Committee,Employee Delegat,Member Since,Sustainability experience,Notes
Bayer,Paul Achleitner,https://www.bayer.com/en/supervisory-board/dr-paul-achleitner,Austrian,1956,M,Y,N,"Human Resources, Mediation, Nomination, Sustainability",,N,2002,N,
Bayer,Simone Bagel-Trah,https://www.bayer.com/en/supervisory-board/dr-rer-nat-simone-bagel-trah,German,1969,F,Y,N,Nomination,,N,2014,N,
Bayer,Horst Baier,https://www.bayer.com/en/supervisory-board/horst-baier,German,1956,M,N,N,Audit,Audit,N,2020,N,
Bayer,Norbert Bischofberger,https://www.bayer.com/en/supervisory-board/dr-norbert-w-bischofberger,"American, Austrian",1956,M,Y,Y,Innovation,,N,2017,N,
Bayer,André van Broich,https://www.bayer.com/en/supervisory-board/andre-van-broich,German,1970,M,N,N,"Human Resources, Innovation, Sustainability",,Y,2012,N,
Bayer,Ertharin Cousin,https://www.bayer.com/en/supervisory-board/ertharin-cousin,American,1957,F,N,N,"Innovation, Sustainability",Sustainability,N,2019,Y,"Center on Food Security and Environment, Visiting Scholar (until 2019 Payne Distinguished Lecturer);
the Royal DSM Sustainability Board
(https://fsfinstitute.net/team/ertharin-c/) "
Bayer,Thomas Elsner,https://www.bayer.com/en/supervisory-board/dr-thomas-elsner,German,1958,M,Y,N,Audit,,Y,2017,N,
Bayer,Colleen Goggins,https://www.bayer.com/en/supervisory-board/colleen-a-goggins,American,1954,F,N,N,"Nomination, Sustainability",,N,2017,N,
Bayer,Robert Gundlach,https://www.bayer.com/en/robert-gundlach,German,1957,M,N,N,Innovation,,Y,2019,N,
Bayer,Heike Hausfeld,https://www.bayer.com/en/supervisory-board/heike-hausfeld,German,1965,F,N,N,"Human Resources, Sustainability",,Y,2017,N,
Bayer,Reiner Hoffmann,https://www.bayer.com/en/supervisory-board/reiner-hoffmann,German,1955,M,N,N,,,Y,2006,N,
Bayer,Fei-Fei Li,https://www.bayer.com/en/supervisory-board/dr-fei-fei-li,American,1976,F,Y,Y,,,N,2021,N,
Bayer,Frank Löllgen,https://www.bayer.com/en/supervisory-board/frank-lollgen,German,1961,M,N,N,"Audit, Innovation",,Y,2015,N,
Bayer,Petra Reinbold-Knape,https://www.bayer.com/en/supervisory-board/petra-reinbold-knape,German,1959,F,N,N,Mediation,,Y,2012,N,
Bayer,Andrea Sacher,https://www.bayer.com/en/supervisory-board/andrea-sacher,German,1981,F,N,N,Sustainability,,Y,2020,N,
Bayer,Michael Schmidt‑Kießling,https://www.bayer.com/en/supervisory-board/michael-schmidt-kiessling,German,1959,M,N,N,,,Y,2012,N,
Bayer,Alberto Weisser,https://www.bayer.com/en/supervisory-board/alberto-weisser,"American, Brazilian, German",1955,M,N,N,Innovation,Innovation,N,2021,N,
Bayer,Otmar Wiestler,https://www.bayer.com/en/supervisory-board/prof-dr-med-dr-hc-mult-otmar-d-wiestler,German,1956,M,Y,Y,,,N,2014,N,
Deutsche Post,Nikolaus von Bomhard,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-bomhard-en-2022-01-21.pdf,German,1956,M,Y,N,"Executive, Mediation, Nomination, Personnel, Strategy and Sustainability","Executive, Mediation, Nomination, Strategy and Sustainability",N,2016,N,Chairman of supervisory board
Deutsche Post,Günther Bräunig,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-braeunig-en-2022-01-21.pdf,German,1955,M,Y,N,Strategy and Sustainability,,N,2018,N,
Deutsche Post,Mario Daberkow,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-daberkow-en-2022-02-11.pdf,German,1969,M,Y,N,,,N,2018,N,
Deutsche Post,Ingrid Deltenre,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-deltenre-en-2022-01-21.pdf,"Dutch, Swiss",1960,F,N,N,"Executive, Nomination, Personnel",,N,2016,N,
Deutsche Post,Heinrich Hiesinger,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-hiesinger-en-2022-01-21.pdf,German,1960,M,Y,N,"Mediation, Strategy and Sustainability",,N,2019,N,
Deutsche Post,Jörg Kukies,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-kukies-en-2021-12-09.pdf,German,1968,M,Y,N,"Audit, Executive, Nomination",,N,2020,N,
Deutsche Post,Simone Menne,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-menne-en-2022-01-21.pdf,German,1960,F,N,N,Audit,,N,2014,N,
Deutsche Post,Lawrence Rosen,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-rosen-en-2022-01-21.pdf,American,1957,M,N,N,,,N,2020,N,
Deutsche Post,Stefan Schulte,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-schulte-en-2022-01-21.pdf,German,1960,M,Y,N,Audit,Audit,N,2009,N,
Deutsche Post,Katja Windt,https://www.dpdhl.com/content/dam/dpdhl/en/about-us/curriculum-vitae/cv-windt-en-2021-11-03.pdf,German,1969,F,Y,Y,,,N,2011,N,
Deutsche Post,Andrea Kocsis,https://de.wikipedia.org/wiki/Andrea_Kocsis,German,1965,F,N,N,"Executive, Mediation, Personnel, Strategy and Sustainability",Personnel,Y,,N,
Deutsche Post,Jörg von Dosky,https://www.linkedin.com/in/j%C3%B6rg-von-dosky-b43063ab/?originalSubdomain=de,German,,M,N,N,,,Y,2014,N,
Deutsche Post,Gabriele Gülzau,,,,F,,,,,Y,,,
Deutsche Post,Thomas Held,,,,M,,,"Executive, Strategy and Sustainability",,Y,,,
Deutsche Post,Mario Jacubasch,,,,M,,,Personnel,,Y,,,
Deutsche Post,Thorsten Kühn,,,,M,,,"Executive, Mediation",,Y,,,
Deutsche Post,Ulrike Lennartz-Pipenbacher,,,,F,,,,,Y,,,
Deutsche Post,Yusuf Özdemir,,,,M,,,Audit,,Y,,,
Deutsche Post,Stephan Teuscher,,,,M,,,"Audit, Strategy and Sustainability",,Y,,,
Deutsche Post,Stefanie Weckesser,,,,F,,,Audit,,Y,,,
BMW,Norbert Reithofer,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1956,M,Y,N,"Audit, Chairman's, Mediation, Nomination, Personnel","Chairman's, Mediation, Nomination, Personnel",N,2015,Y,https://studycorgi.com/bmw-group-sustainability-plan/
BMW,Manfred Schoch,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1955,M,N,N,"Audit, Chairman's, Mediation, Personnel",,Y,1988,N,
BMW,Stefan Quandt,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1966,M,N,N,"Audit, Chairman's, Mediation, Nomination, Personnel",,N,1999,N,
BMW,Stefan Schmid,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1965,M,N,N,"Audit, Chairman's, Mediation, Personnel",,Y,2007,N,
BMW,Kurt Bock,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1958,M,Y,N,"Audit, Chairman's, Nomination, Personnel",Audit,N,2018,N,
BMW,Christiane Benner,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1968,F,N,N,,,Y,2014,N,
BMW,Marc Bitzer,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1965,M,Y,N,,,N,2021,N,
BMW,Bernhard Ebner,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1978,M,N,N,,,Y,2021,N,
BMW,Rachel Empey,https://www.bmwgroup.com/en/company/leadership-and-governance.html,"British, German",1976,F,N,N,,,N,2021,N,
BMW,Heinrich Hiesinger,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1960,M,Y,N,,,N,2017,N,
BMW,Johann Horn ,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1958,M,N,N,,,Y,2021,N,
BMW,Susanne Klatten,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1962,F,N,N,Nomination,,N,1997,N,
BMW,Jens Köhler ,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1964,M,N,N,,,Y,2021,N,
BMW,Dominique Mohabeer,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1963,F,Y,N,,,Y,2012,N,
BMW,Anke Schäferkordt,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1962,F,N,N,,,N,2020,N,
BMW,Christoph Schmidt,https://www.bmwgroup.com/en/company/leadership-and-governance.html,"Australian, German",1962,M,Y,Y,,,N,2021,Y,"President of RWI – Leibniz Institute for Economic Research e.V.; University Professor (actively conducts research on sustainability and governance) 
https://en.rwi-essen.de/forschung-und-beratung/nachhaltigkeit-und-governance/"
BMW,Vishal Sikka,https://www.bmwgroup.com/en/company/leadership-and-governance.html,American,1967,M,Y,N,,,N,2019,N,
BMW,Sibylle Wankel ,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1964,F,N,N,,,Y,2022,Y,Scientific Assistant at the Institute for German and European Technological and Environmental Law at Ruprecht-Karls-Universität Heidelberg
BMW,Thomas Wittig,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1960,M,Y,N,,,Y,2019,N,
BMW,Werner Zierer,https://www.bmwgroup.com/en/company/leadership-and-governance.html,German,1959,M,N,N,,,Y,2001,N,
Siemens Healthineers,Ralf Thomas,https://www.siemens-healthineers.com/investor-relations/supervisory-board/ralf-p-thomas,German,1961,M,Y,Y,"Audit, Chairman's, Innovation and Finance","Chairman's, Innovation and Finance",N,2018,N,Chairman of supervisory board
Siemens Healthineers,Norbert Gaus,https://www.siemens-healthineers.com/investor-relations/supervisory-board/norbert-gaus,German,1962,M,Y,N,"Chairman's, Innovation and Finance",,N,2018,N,
Siemens Healthineers,Roland Busch,https://www.siemens-healthineers.com/investor-relations/supervisory-board/roland-busch,German,1964,M,Y,N,Innovation and Finance,,N,2020,N,
Siemens Healthineers,Marion Helmes,https://www.siemens-healthineers.com/investor-relations/supervisory-board/marion-helmes,German,1965,F,Y,N,"Audit, Related-Party Transactions","Audit, Related-Party Transactions",N,2018,N,
Siemens Healthineers,Andreas Hoffmann,https://www.siemens-healthineers.com/investor-relations/supervisory-board/andreas-c-hoffmann,German,1964,M,Y,N,"Audit, Chairman's, Related-Party Transactions",,N,2018,N,
Siemens Healthineers,Philipp Roesler,https://www.siemens-healthineers.com/investor-relations/supervisory-board/philipp-roesler,"German, Vietnamese",1973,M,Y,Y,,,N,2018,N,
Siemens Healthineers,Peer Schatz,https://www.siemens-healthineers.com/investor-relations/supervisory-board/peer-m-schatz,"Austrian, Swiss",1965,M,N,N,Innovation and Finance,,N,2021,N,
Siemens Healthineers,Nathalie von Siemens,https://www.siemens-healthineers.com/investor-relations/supervisory-board/nathalie-von-siemens,German,1971,F,Y,N,,,N,2018,N,
Siemens Healthineers,Gregory Sorensen,https://www.siemens-healthineers.com/investor-relations/supervisory-board/gregory-sorensen,American,1962,M,Y,Y,Innovation and Finance,,N,2018,N,
Siemens Healthineers,Karl-Heinz Streibich,https://www.siemens-healthineers.com/investor-relations/supervisory-board/karl-heinz-streibich,German,1952,M,N,N,"Innovation and Finance, Related-Party Transactions",,N,2018,N,
BASF,Kurt Bock,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1958,M,Y,N,"Nomination, Personnel, Strategy","Nomination, Personnel, Strategy",N,2020,N,Chairman of supervisory board
BASF,Thomas Carell,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1966,M,Y,Y,Nomination,,N,2019,N,
BASF,Alison Carnwath,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,British,1953,F,N,N,"Audit, Nomination, Strategy",Audit,N,2014,N,
BASF,Liming Chen,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,Singaporean,1960,M,N,N,Nomination,,N,2020,N,
BASF,Tatjana Diether,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1975,F,N,N,Audit,,Y,2018,N,
BASF,Franz Fehrenbach,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1949,M,N,N,"Nomination, Personnel, Strategy",,N,2008,N,
BASF,Waldemar Helber,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1957,M,N,N,Strategy,,Y,2016,N,
BASF,Sinischa Horvat,https://www.basf.com/global/en/investors/basf-at-a-glance/corporate-governance/supervisory-board.html,German,1976,M,N,N,"Personnel, Strategy",,Y,2017,N,
